"LatD", "LatM", "LatS", "LonD", "LonM", "LonS"
   2018,000,4,2,03,357
   2018,000,4,2,04,219
   2018,000,4,2,05,15
   2018,000,4,2,06,81
   2018,000,4,2,07,60
   2018,000,4,2,08,144
   2018,000,4,2,09,528
   2018,000,4,2,12,15
   2018,000,4,2,13,516
   2018,000,4,2,14,111
   2018,000,4,2,15,51
   2018,000,4,2,16,9
   2018,000,4,2,17,39
   2018,000,4,2,18,12
   2018,000,4,2,99,..C
   2018,000,4,2,9999,5412
   2018,000,4,2,77,5412
   2018,000,4,9,01,147
   2018,000,4,9,02,6537
   2018,000,4,9,03,759
   2018,000,4,9,04,438
   2018,000,4,9,05,30
   2018,000,4,9,06,153
   2018,000,4,9,07,123
   2018,000,4,9,08,288
   2018,000,4,9,09,1071
   2018,000,4,9,12,24
   2018,000,4,9,13,1095
   2018,000,4,9,14,216
   2018,000,4,9,15,99
   2018,000,4,9,16,18
   2018,000,4,9,17,81
   2018,000,4,9,18,33
   2018,000,4,9,99,..C
   2018,000,4,9,9999,11100
   2018,000,4,9,77,11100
   2018,000,5,1,01,12
   2018,000,5,1,02,318
   2018,000,5,1,03,48
   2018,000,5,1,04,33
   2018,000,5,1,05,6
   2018,000,5,1,06,15
   2018,000,5,1,07,6
   2018,000,5,1,08,24
   2018,000,5,1,09,99
   2018,000,5,1,12,0
   2018,000,5,1,13,69
   2018,000,5,1,14,30
   2018,000,5,1,15,9
   2018,000,5,1,16,3
   2018,000,5,1,17,0
   2018,000,5,1,18,3
   2018,000,5,1,99,..C
   2018,000,5,1,9999,675
   2018,000,5,1,77,675
   2018,000,5,2,01,12
   2018,000,5,2,02,321
   2018,000,5,2,03,72
   2018,000,5,2,04,18
   2018,000,5,2,05,3
   2018,000,5,2,06,15
   2018,000,5,2,07,12
   2018,000,5,2,08,21
   2018,000,5,2,09,108
   2018,000,5,2,12,0
   2018,000,5,2,13,66
   2018,000,5,2,14,33
   2018,000,5,2,15,3
   2018,000,5,2,16,3
   2018,000,5,2,17,3
   2018,000,5,2,18,3
   2018,000,5,2,99,..C
   2018,000,5,2,9999,690
   2018,000,5,2,77,690
   2018,000,5,9,01,24
   2018,000,5,9,02,645
   2018,000,5,9,03,120
   2018,000,5,9,04,51
   2018,000,5,9,05,9
   2018,000,5,9,06,30
   2018,000,5,9,07,18
   2018,000,5,9,08,42
   2018,000,5,9,09,204
   2018,000,5,9,12,3
   2018,000,5,9,13,135
   2018,000,5,9,14,63
   2018,000,5,9,15,9
   2018,000,5,9,16,3
   2018,000,5,9,17,3
   2018,000,5,9,18,6
   2018,000,5,9,99,..C
   2018,000,5,9,9999,1362
   2018,000,5,9,77,1362
   2018,000,6,1,01,6
   2018,000,6,1,02,111
   2018,000,6,1,03,39
   2018,000,6,1,04,15
   2018,000,6,1,05,3
   2018,000,6,1,06,12
   2018,000,6,1,07,9
   2018,000,6,1,08,18
   2018,000,6,1,09,42
   2018,000,6,1,12,0
   2018,000,6,1,13,60
   2018,000,6,1,14,18
   2018,000,6,1,15,9
   2018,000,6,1,16,3
   2018,000,6,1,17,3
   2018,000,6,1,18,3
   2018,000,6,1,99,..C
   2018,000,6,1,9999,354
   2018,000,6,1,77,354
   2018,000,6,2,01,12
   2018,000,6,2,02,111
   2018,000,6,2,03,24
   2018,000,6,2,04,27
   2018,000,6,2,05,3
   2018,000,6,2,06,9
   2018,000,6,2,07,9
   2018,000,6,2,08,18
   2018,000,6,2,09,48
   2018,000,6,2,12,3
   2018,000,6,2,13,39
   2018,000,6,2,14,12
   2018,000,6,2,15,3
   2018,000,6,2,16,3
   2018,000,6,2,17,3
   2018,000,6,2,18,3
   2018,000,6,2,99,..C
   2018,000,6,2,9999,333
   2018,000,6,2,77,333
   2018,000,6,9,01,18
   2018,000,6,9,02,222
   2018,000,6,9,03,66
   2018,000,6,9,04,42
   2018,000,6,9,05,6
   2018,000,6,9,06,18
   2018,000,6,9,07,18
   2018,000,6,9,08,39
